diagnosisId,typeGroup,typeId,typeLabel,targetSectionId,priority,ruleDescription,,
gainge_mgmt,STRENGTH,S_CULT_SAT,문화 만족 강점,문화_만족,1,"7개 통합 섹션 중 최고 평균 (동점: 1:표준편차소, 2:랜덤, 3:priority)",
gainge_mgmt,STRENGTH,S_TAL_PLACE,인재 배치 강점,인재_배치,2,"7개 통합 섹션 중 최고 평균 (동점: 1:표준편차소, 2:랜덤, 3:priority)",
gainge_mgmt,STRENGTH,S_TASK_DRV,과업 추진 강점,과업_추진,3,"7개 통합 섹션 중 최고 평균 (동점: 1:표준편차소, 2:랜덤, 3:priority)",
gainge_mgmt,STRENGTH,S_VAL_PRAC,가치 실천 강점,가치_실천,4,"7개 통합 섹션 중 최고 평균 (동점: 1:표준편차소, 2:랜덤, 3:priority)",
gainge_mgmt,STRENGTH,S_COMP_EDGE,경쟁력 확보 강점,경쟁력_확보,5,"7개 통합 섹션 중 최고 평균 (동점: 1:표준편차소, 2:랜덤, 3:priority)",
gainge_mgmt,STRENGTH,S_LEAD_TRUST,리더십 신뢰 강점,리더십_신뢰,6,"7개 통합 섹션 중 최고 평균 (동점: 1:표준편차소, 2:랜덤, 3:priority)",
gainge_mgmt,STRENGTH,S_HR_DEV,인재 양성 강점,인재_양성,7,"7개 통합 섹션 중 최고 평균 (동점: 1:표준편차소, 2:랜덤, 3:priority)",
gainge_mgmt,GROWTH,G_CULT_SAT,문화 만족 성장포인트,문화_만족,8,"7개 통합 섹션 중 최저 평균 (동점: 1:표준편차소, 2:랜덤, 3:priority)",
gainge_mgmt,GROWTH,G_TAL_PLACE,인재 배치 성장포인트,인재_배치,9,"7개 통합 섹션 중 최저 평균 (동점: 1:표준편차소, 2:랜덤, 3:priority)",
gainge_mgmt,GROWTH,G_TASK_DRV,과업 추진 성장포인트,과업_추진,10,"7개 통합 섹션 중 최저 평균 (동점: 1:표준편차소, 2:랜덤, 3:priority)",
gainge_mgmt,GROWTH,G_VAL_PRAC,가치 실천 성장포인트,가치_실천,11,"7개 통합 섹션 중 최저 평균 (동점: 1:표준편차소, 2:랜덤, 3:priority)",
gainge_mgmt,GROWTH,G_COMP_EDGE,경쟁력 확보 성장포인트,경쟁력_확보,12,"7개 통합 섹션 중 최저 평균 (동점: 1:표준편차소, 2:랜덤, 3:priority)",
gainge_mgmt,GROWTH,G_LEAD_TRUST,리더십 신뢰 성장포인트,리더십_신뢰,13,"7개 통합 섹션 중 최저 평균 (동점: 1:표준편차소, 2:랜덤, 3:priority)",
gainge_mgmt,GROWTH,G_HR_DEV,인재 양성 성장포인트,인재_양성,14,"7개 통합 섹션 중 최저 평균 (동점: 1:표준편차소, 2:랜덤, 3:priority)",
